Name,user_ratings_total,category,rating,Latitude,Longitude,weekly_high,weekly_low,best_weekly_estimate,Address,geometry,Adoption,Adoption Guess,Visited ,Influence,Weekly_Dropoff_Totes,Daily_Pickup_Totes,id,service_type,location_type
galveston vfw hall,18.0,restaurant,4.8,29.2990826,-94.7925989,,,93.75,"1014 24th Street Rear, Galveston",POINT (-94.7925989 29.2990826),Skeptical,Med,No,Low,1.0,1.0,,Truck,
Cooper's Landing,219.0,restaurant,4.3,29.2407199,-94.8780445,700,280,700,"11150 Termini-San Luis Pass Road, Galveston",POINT (-94.8780445 29.2407199),Skeptical,Med,No,Low,1.0,1.0,,Truck,
Cruise Plaza,82.0,restaurant,4.2,29.3090318,-94.7897517,140,70,140,"112 19th Street, Galveston",POINT (-94.7897517 29.3090318),Skeptical,Med,No,Low,1.0,1.0,,Truck,
Panda Express,10.0,restaurant,2.0,29.2755,-94.83056,3360,3360,3360,"11745 San Luis Pass Rd Galveston, TX 77554",POINT (-94.83056 29.2755),Skeptical,Med,No,Low,1.0,2.0,,Truck,
Mr. Taco,,restaurant,,29.308418,-94.7909307,0,0,93.75,"120 20th Street, Galveston",POINT (-94.7909307 29.308418),Curious,Med,No,Low,1.0,1.0,,Truck,
Benno's Cajun Seafood Restaurant,3094.0,restaurant,4.1,29.2981818,-94.7781673,500,100,500,"1212 Seawall Boulevard, Galveston",POINT (-94.7781673 29.2981818),Skeptical,Med,No,Med,1.0,1.0,,Truck,
Bambú,780.0,restaurant,4.5,29.2976696,-94.7909648,1050,150,1050,"1220 23rd Street, Galveston",POINT (-94.7909648 29.2976696),Skeptical,Med,No,Low,1.0,1.0,,Truck,
Lil’ Buffalo Grille,216.0,restaurant,4.8,29.2610884,-94.8706411,350,35,350,"13 Evia Main, Galveston",POINT (-94.8706411 29.2610884),Curious,Med,No,Low,1.0,1.0,,Truck,
Saltgrass Steak House,3775.0,restaurant,4.4,29.296032,-94.7808646,,,656.25,"1502 Seawall Boulevard, Galveston",POINT (-94.7808646 29.296032),Skeptical,Med,No,High,1.0,1.0,,Truck,
Chef Mary Bass,52.0,caterer,4.8,29.2905544,-94.8085834,,,112.5,"1510 39th Street, Galveston",POINT (-94.8085834 29.2905544),Curious,Med,No,Med,1.0,1.0,,Truck,
Nick's,4.0,restaurant,3.5,29.2894221,-94.8085269,,,93.75,"1613 39th Street, Galveston",POINT (-94.8085269 29.2894221),Skeptical,Med,No,High,1.0,1.0,,Truck,
Longboard Pool Bar,292.0,bar,4.1,29.2944602,-94.7828729,,,140.625,"1702 Seawall Boulevard, Galveston",POINT (-94.7828729 29.2944602),Skeptical,Med,No,High,1.0,1.0,,Truck,
Pennies Tex Mex Take Out,391.0,restaurant,4.7,29.2891349,-94.8059756,350,105,350,"1713 37th Street, Galveston",POINT (-94.8059756 29.2891349),Curious,Med,No,Low,1.0,2.0,,Truck,
Nate's Westend Seafood & Steaks,1470.0,restaurant,4.0,29.1752194,-94.9850694,,,93.75,"17515 Termini-San Luis Pass Road, Galveston",POINT (-94.9850694 29.1752194),Skeptical,Med,No,Low,1.0,1.0,,Truck,
Fish Company Taco,368.0,restaurant,4.8,29.2918404,-94.7889025,100,50,100,"1914 23rd Street, Galveston",POINT (-94.7889025 29.2918404),Skeptical,Med,No,Low,1.0,1.0,,Truck,
Katie's Seafood House,3045.0,restaurant,4.6,29.3100166,-94.7912952,210,35,210,"2000 Wharf Road, Galveston",POINT (-94.7912952 29.3100166),Curious,Med,No,High,1.0,1.0,,Truck,
Saltwater Grill,653.0,restaurant,4.4,29.3050765,-94.790643,280,70,280,"2017 Postoffice Street, Galveston",POINT (-94.790643 29.3050765),Skeptical,Med,No,High,1.0,1.0,,Truck,
Drunken Monkeyz,324.0,bar,4.3,29.3079594,-94.790723,0,0,1125,"202 20th Street, Galveston",POINT (-94.790723 29.3079594),Skeptical,Med,No,Low,2.0,2.0,,Truck,
Hubcap Grill,1268.0,bar,4.3,29.3076238,-94.791623,420,140,420,"2021 The Strand #3, Galveston",POINT (-94.791623 29.3076238),Skeptical,Med,No,Med,1.0,1.0,,Truck,
Monarch Restaurant,5.0,restaurant,3.2,29.2925893,-94.7863581,0,0,93.75,"2024 Seawall Boulevard, Galveston",POINT (-94.7863581 29.2925893),Cuirous,Med,No,Not open yet,1.0,1.0,,Truck,
Galvez Bar & Grill,505.0,restaurant,4.3,29.2928214,-94.7863059,415,210,415,"2024 Seawall Boulevard, Galveston",POINT (-94.7863059 29.2928214),Skeptical,Med,No,Med,1.0,1.0,,Truck,
Willie G's Seafood & Steaks,3060.0,restaurant,4.3,29.309303,-94.792803,3500,500,3500,"2100 Harborside Drive, Galveston",POINT (-94.792803 29.309303),Skeptical,Med,No,High,1.0,1.0,,Truck,
Taquilo's Tex-Mex,1427.0,restaurant,4.3,29.3049299,-94.791404,420,140,420,"2101 Postoffice St, Galveston",POINT (-94.791404 29.3049299),Skeptical,Med,No,High,1.0,2.0,,Truck,
Sky Bar,378.0,restaurant,4.3,29.3049316,-94.7914472,210,70,210,"2105 Postoffice St, Galveston",POINT (-94.7914472 29.3049316),Skeptical,Med,No,High,1.0,1.0,,Truck,
Little Daddy’s Gumbo Bar - Galveston,1634.0,restaurant,4.5,29.304882,-94.7914734,1050,175,1050,"2107 Postoffice Street, Galveston",POINT (-94.7914734 29.304882),Skeptical,Med,No,High,1.0,1.0,,Truck,
Schlitterbahn Waterpark Galveston,4957.0,amusement_park,4.3,29.2703671,-94.8517369,,,5500,"2109 Gene Lucas Blvd, Galveston",POINT (-94.8517369 29.2703671),Skeptical,Med,No,Med,6.0,8.0,,Truck,
Hey Mikey's Ice Cream,818.0,cafe,4.6,29.3051204,-94.79194,,,625,"2120 Postoffice St, Galveston",POINT (-94.79194 29.3051204),Skeptical,Med,No,High,1.0,1.0,,Truck,
Vintage Crown Michelada Bar & Taqueria,207.0,bar,4.6,29.3065367,-94.7944665,,,140.625,"215 23rd Street, Galveston",POINT (-94.7944665 29.3065367),Skeptical,Med,No,Low,1.0,1.0,,Truck,
The West End Marina and Restaurants,803.0,bar,4.1,29.1449947,-95.0470457,300,150,300,"21706 Burnet Drive, Galveston",POINT (-95.0470457 29.1449947),Skeptical,Med,No,Med,1.0,1.0,,Truck,
Fisherman's Wharf,5747.0,restaurant,4.4,29.3089314,-94.7936367,700,140,700,"2200 Harborside Drive, Galveston",POINT (-94.7936367 29.3089314),Skeptical,Med,No,High,1.0,1.0,,Truck,
Axecade,113.0,restaurant,4.8,29.3070637,-94.7941601,2100,300,2100,"2217 Strand St Second Floor 217, 2217 The Strand Suite 217, Galveston",POINT (-94.7941601 29.3070637),Skeptical,Med,No,Low,1.0,1.0,,Truck,
Britton's Bistro (Murdocks),2.0,restaurant,4.5,29.3131588,-94.81892221,,,750,"2226 71st St Galveston, TX 77551",POINT (-94.8189222054326 29.3131588001007),Curious,Med,No,Med,1.0,2.0,,Truck,
Tsunami Tequila Emporium,165.0,bar,4.1,29.3072052,-94.7951202,0,0,140.625,"2314 The Strand, Galveston",POINT (-94.7951202 29.3072052),Skeptical,Med,No,High,1.0,1.0,,Truck,
Playground Patio Bar & Grill,216.0,bar,4.4,29.30667,-94.795242,,,140.625,"2325 The Strand, Galveston",POINT (-94.795242 29.30667),Skeptical,Med,No,Low,1.0,1.0,,Truck,
Press Box,320.0,bar,4.4,29.3040367,-94.7948097,70,10,70,"2401 Postoffice Street, Galveston",POINT (-94.7948097 29.3040367),Hesitant,Med,No,Med,2.0,2.0,,Truck,
Shark Shack,1607.0,bar,4.6,29.3069439,-94.7957083,210,30,210,"2402 The Strand, Galveston",POINT (-94.7957083 29.3069439),Skeptical,Med,No,Med,1.0,1.0,,Truck,
Jack's Pub On Post Office,316.0,bar,4.6,29.3043679,-94.7951116,210,30,210,"2406 Postoffice St, Galveston",POINT (-94.7951116 29.3043679),Hesitant,Med,No,Low,2.0,2.0,,Truck,
Hearsay On The Strand,1103.0,restaurant,4.4,29.3068691,-94.796027,35,5,35,"2410 The Strand, Galveston",POINT (-94.796027 29.3068691),Skeptical,Med,No,Low,1.0,1.0,,Truck,
Patrick’s Bar,174.0,bar,4.3,29.3066379,-94.7959472,350,50,350,"2411 The Strand B, Galveston",POINT (-94.7959472 29.3066379),Skeptical,Med,No,Low,1.0,1.0,,Truck,
Trini Mike's Island Time Kitchen (Food Truck),5.0,restaurant,4.2,29.3041632,-94.7954706,,,93.75,"2424 Post Office, Galveston (Sharkeys)",POINT (-94.7954706 29.3041632),Skeptical,Med,No,Low,1.0,1.0,,Truck,
La Estacion Restaurant,442.0,restaurant,4.3,29.3015187,-94.794797,175,25,175,"2428 Avenue H, Galveston",POINT (-94.794797 29.3015187),Skeptical,Med,No,Low,1.0,1.0,,Truck,
Robert's Lafitte,122.0,bar,4.5,29.2896039,-94.7911531,600,400,600,"2501 Avenue Q, Galveston",POINT (-94.7911531 29.2896039),Currious,Med,No,Med,1.0,1.0,,Truck,
Bubba Gump Shrimp Co.,6587.0,restaurant,4.0,29.28785,-94.790157,140,20,140,"2501 Seawall Boulevard, Galveston",POINT (-94.790157 29.28785),Skeptical,Med,No,High,1.0,1.0,,Truck,
Fish Tales,5546.0,restaurant,4.0,29.2882774,-94.7908591,280,40,280,"2502 Seawall Boulevard, Galveston",POINT (-94.7908591 29.2882774),Skeptical,Med,No,High,1.0,1.0,,Truck,
Shrimp 'N Stuff Downtown,1785.0,restaurant,4.5,29.3013951,-94.7958306,1400,200,1400,"2506 Avenue H, Galveston",POINT (-94.7958306 29.3013951),Skeptical,Med,No,Low,1.0,2.0,,Truck,
Freckleberry Teahouse,78.0,cafe,4.9,29.3041968,-94.79937,,,625,"2724 Market Street, Galveston",POINT (-94.79937 29.3041968),Curious,Med,No,Med,1.0,1.0,,Truck,
Taco Cabana,109.0,restaurant,2.0,29.27079,-94.82903,2800,400,2800,"2729 61st St. Galveston, TX 77551",POINT (-94.82903 29.27079),Opp,Med,No,Low,1.0,2.0,,Truck,
Float Pool & Patio Bar,1433.0,bar,4.2,29.2859177,-94.7944124,?,?,,"2828 Seawall Boulevard, Galveston",POINT (-94.7944124 29.2859177),Skeptical,Med,No,Med,1.0,1.0,,Truck,
The Poop Deck,235.0,bar,4.5,29.2852319,-94.7955743,10000,500,10000,"2928 Seawall Boulevard, Galveston",POINT (-94.7955743 29.2852319),Skeptical,Med,No,Low,1.0,1.0,,Truck,
Island time beach bar,12.0,bar,4.7,29.2842203,-94.7971187,,,1125,"3102 Seawall Boulevard, Galveston",POINT (-94.7971187 29.2842203),Curious,Med,No,Low,2.0,2.0,,Truck,
Taqueria Flores,507.0,restaurant,4.5,29.297634,-94.8026272,,,750,"3202 Broadway Avenue J #4228, Galveston",POINT (-94.8026272 29.297634),Skeptical,Med,No,Low,1.0,2.0,,Truck,
Under the Bun,6.0,restaurant,4.8,29.2836927,-94.7981611,,,93.75,"3202 Seawall Boulevard, Galveston (SPOT)",POINT (-94.7981611 29.2836927),Skeptical,Med,No,High,1.0,1.0,,Truck,
Squeeze,35.0,bar,3.5,29.2837569,-94.7980425,,,140.625,"3204 Seawall Boulevard c, Galveston (spot)",POINT (-94.7980425 29.2837569),Skeptical,Med,No,High,1.0,1.0,,Truck,
Tiki Bar,142.0,bar,4.3,29.2836062,-94.7979736,,,1125,"3204 Seawall Boulevard Suite B, Galveston",POINT (-94.7979736 29.2836062),Skeptical,Med,No,High,2.0,2.0,,Truck,
SideYard,106.0,bar,4.2,29.2837156,-94.7980166,,,140.625,"3204 Seawall Boulevard Suite D, Galveston",POINT (-94.7980166 29.2837156),Skeptical,Med,No,High,1.0,1.0,,Truck,
Rum Shack,221.0,bar,4.3,29.2835904,-94.7979948,,,140.625,"3204 Seawall Boulevard Suite E, Galveston",POINT (-94.7979948 29.2835904),Skeptical,Med,No,High,1.0,1.0,,Truck,
Drip,2.0,bar,5.0,29.2836623,-94.7981973,1500,150,1500,"3204 Seawall Boulevard, Galveston",POINT (-94.7981973 29.2836623),Skeptical,Med,No,High,1.0,1.0,,Truck,
Black Pearl Oyster Bar,2224.0,restaurant,4.4,29.3054649,-94.7940474,105,15,105,"327 23rd Street, Galveston",POINT (-94.7940474 29.3054649),Skeptical,Med,No,Low,1.0,1.0,,Truck,
La Michoacana Meat Market,286.0,supermarket,4.0,29.2965863,-94.8035795,350,50,350,"3301 Broadway Avenue J, Galveston",POINT (-94.8035795 29.2965863),Skeptical,Med,No,Low,1.0,2.0,,Truck,
Queen's Bar-B-Que,1311.0,restaurant,4.3,29.2834997,-94.8011997,700,100,700,"3428 Avenue S, Galveston",POINT (-94.8011997 29.2834997),Skeptical,Med,No,Low,1.0,2.0,,Truck,
Joe's Crab Shack,4371.0,restaurant,3.8,29.2815703,-94.8014962,245,35,245,"3502 Seawall Boulevard, Galveston",POINT (-94.8014962 29.2815703),Skeptical,Med,No,High,1.0,1.0,,Truck,
The Gumbo Diner,3842.0,restaurant,4.4,29.2811811,-94.8018983,350,50,350,"3602 Seawall Boulevard, Galveston",POINT (-94.8018983 29.2811811),Skeptical,Med,No,High,1.0,1.0,,Truck,
Rail Road Museum,408.0,restaurant,4.6,29.2983795,-94.8091242,400,100,400,"2602 Santa Fe Pl, Galveston",POINT (-94.8091242 29.2983795),Curious,med,Yes,Low,,,,Truck,
Redfish Pool Bar,7.0,bar,2.9,29.2798569,-94.8037861,,,140.625,"3788 Seawall Boulevard, Galveston",POINT (-94.8037861 29.2798569),Skeptical,Med,No,High,1.0,1.0,,Truck,
Nick's Kitchen and Beach Bar,3609.0,restaurant,4.2,29.2797917,-94.8040028,,,656.25,"3802 Seawall Boulevard, Galveston",POINT (-94.8040028 29.2797917),Skeptical,Med,No,High,1.0,1.0,,Truck,
Cordray Drug Store,28.0,convenience store,4.5,29.293314,-94.8095633,,,750,"3827 Ave L Galveston, TX 77550",POINT (-94.8095633 29.293314),Curious,Med,No,Med,1.0,2.0,,Truck,
Shrimp N Stuff,1441.0,restaurant,4.0,29.28874,-94.80844,1050,150,1050,"3901 Ave O Galveston, TX 77550",POINT (-94.80844 29.28874),Skeptical,Med,No,High,1.0,2.0,,Truck,
Whitecaps,,university,,29.285577,-94.8077385,0,0,1875,"3916 Avenue Q, Galveston",POINT (-94.8077385 29.285577),Curious,med,No,low,,,,Truck,
Mr Taco & Limon Paradise,129.0,restaurant,4.1,29.2777842,-94.8072763,350,50,350,"4112 Seawall Boulevard, Galveston",POINT (-94.8072763 29.2777842),Curious,Med,No,Med,1.0,2.0,,Truck,
Trattoria La Vigna,563.0,restaurant,4.6,29.306202,-94.7901585,0,0,93.75,"412 20th Street, Galveston",POINT (-94.7901585 29.306202),Skeptical,Med,No,Low,1.0,1.0,,Truck,
Shucks Tavern,97.0,restaurant,4.7,29.3055721,-94.7912194,35,0,35,"414 21st Street, Galveston",POINT (-94.7912194 29.3055721),Curious,Med,No,Low,1.0,1.0,,Truck,
Gonzalo’s American Bistro,35.0,restaurant,5.0,29.3090727,-94.7778359,700,100,700,"415 9th Street, Galveston",POINT (-94.7778359 29.3090727),Curious,Med,No,Low,1.0,1.0,,Truck,
Mama Teresa's Flying Pizza,1875.0,restaurant,4.6,29.3055494,-94.7911778,175,25,175,"416 21st Street, Galveston",POINT (-94.7911778 29.3055494),Skeptical,Med,No,Low,1.0,2.0,,Truck,
The Wine Next Door,3.0,bar,5.0,29.3054682,-94.7911713,0,0,140.625,"418 21st Street, Galveston",POINT (-94.7911713 29.3054682),Curious,Med,No,Low,1.0,1.0,,Truck,
Seawall Bar,7.0,bar,4.9,29.2769262,-94.8086836,0,0,750,"4302 Seawall Boulevard, Galveston (Tru Hotel)",POINT (-94.8086836 29.2769262),Skeptical,Med,No,Low,1.0,2.0,,Truck,
KritiKos Olympia Grill,379.0,restaurant,4.3,29.2734391,-94.8157266,105,15,105,"4908 Seawall Boulevard suite B, Galveston",POINT (-94.8157266 29.2734391),Curious,Med,No,Low,1.0,1.0,,Truck,
Bronco Burritos,289.0,restaurant,4.5,29.29176564,-94.82237832,7000,1000,7000,"4917 Broadway St Galveston, TX 77551",POINT (-94.822378320166 29.2917656429058),Skeptical,Med,No,Med,1.0,1.0,,Truck,
America's Kitchen,565.0,restaurant,4.4,29.3140986,-94.7755666,70,5,70,"500 Harborside Drive, Galveston",POINT (-94.7755666 29.3140986),Opp,Med,No,Low,1.0,1.0,,Truck,
Sharky's Tavern,757.0,restaurant,4.4,29.3037598,-94.7953346,,,1250,"504 25th Street, Galveston",POINT (-94.7953346 29.3037598),Skeptical,Med,No,High,2.0,2.0,,Truck,
H2O Pool + Bar,33.0,restaurant,3.5,29.2723853,-94.817417,7500,500,7500,"5222 Seawall Blvd Inside the San Luis Resort Galveston, TX 77551",POINT (-94.817417 29.2723853),Skeptical,Med,No,High,8.0,11.0,,Truck,
The Cove,46.0,bar,4.2,29.2725491,-94.8183102,0,0,140.625,"5222 Seawall Boulevard, Galveston",POINT (-94.8183102 29.2725491),Skeptical,Med,No,High,1.0,1.0,,Truck,
Landry's Prime Seafood & Steaks,637.0,restaurant,3.5,29.2707352,-94.82023169,,,93.75,"5310 Seawall Blvd Galveston, TX 77551",POINT (-94.8202316880881 29.270735202849),Skeptical,Med,No,High,1.0,1.0,,Truck,
Hooters,175.0,restaurant,2.0,29.2797,-94.83244,280,40,280,"6028 Heards Ln Galveston, TX 77551",POINT (-94.83244 29.2797),Skeptical,Med,No,Low,1.0,1.0,,Truck,
Golden Corral Buffet & Grill,4686.0,restaurant,4.2,29.2660613,-94.8282526,280,40,280,"6200 Seawall Boulevard, Galveston",POINT (-94.8282526 29.2660613),Skeptical,Med,No,Low,1.0,1.0,,Truck,
Tremont House Hotel,1.0,restaurant,2.0,29.27219042,-94.84080613,300,200,300,"2300 Mechanic st Galveston, TX 77550",POINT (-94.8408061274375 29.2721904155014),Curious,Med,Yes,High,1.0,1.0,,Truck,
Cafe in the Park,48.0,restaurant,3.0,29.27307241,-94.85089697,2000,800,2000,"7 Hope Blvd Galveston, TX 77554",POINT (-94.8508969682617 29.2730724079183),Skeptical,Med,No,High,3.0,3.0,,Truck,
Shearn's Seafood and Prime Steaks,110.0,restaurant,4.0,29.27082677,-94.85046387,0,0,93.75,"7 Hope Blvd Galveston, TX 77554",POINT (-94.8504638671875 29.270826769182),Skeptical,Med,No,High,1.0,1.0,,Truck,
Rice & Curry Indo-Pak Cuisine,759.0,restaurant,3.0,29.30747,-94.7743744,70,10,70,"712 7th Street, Galveston",POINT (-94.7743744 29.30747),Curious,Med,No,Low,1.0,1.0,,Truck,
PJ’s coffee,,cafe,,29.3114867,-94.7780584,,,625,"712 Texas Avenue, Galveston (UTMB)",POINT (-94.7780584 29.3114867),Curious,Med,No,High,1.0,1.0,,Truck,
Marina Bar & Grill,530.0,bar,4.3,29.3174591,-94.777354,350,50,350,"715 North Holiday Drive, Galveston",POINT (-94.777354 29.3174591),Oppositional,Med,No,Med,1.0,1.0,,Truck,
Dolphin World Inc No 2,5.0,restaurant,2.0,29.25173,-94.85317,210,30,210,"718 41st Str Galveston, TX 77550",POINT (-94.85317 29.25173),Skeptical,Med,No,Low,1.0,1.0,,Truck,
Number 13 Prime Steak and Seafood,1058.0,bar,4.5,29.2850878,-94.8575356,75,25,75,"7809 Broadway Street, Galveston",POINT (-94.8575356 29.2850878),Hesitant,Med,No,High,1.0,1.0,,Truck,
Galveston Primetime,1321.0,movie_theater,4.2,29.2530127,-94.8542107,4200,600,4200,"8902 Seawall Boulevard, Galveston Movie theatre)",POINT (-94.8542107 29.2530127),Skeptical,Med,No,Low,2.0,2.0,,Truck,
Palm Beach At Moody Gardens,958.0,amusement_park,4.5,29.275732,-94.850972,,,5500,"8928, 1 Hope Boulevard, Galveston",POINT (-94.850972 29.275732),Hesitant,Med,No,High,6.0,8.0,,Truck,
SEA BEAN Coffee Cafe,7.0,cafe,4.5,29.2506218,-94.8532271,,,750,"9001 Seawall Blvd Galveston, TX 77551 (Jimmies)",POINT (-94.8532271 29.2506218),Skeptical,Med,No,High,1.0,2.0,,Truck,
Jimmy's Curbside Restaurant and Grocery,8.0,restaurant,4.5,29.2506985,-94.8531793,,,750,"9001 Seawall Boulevard, Galveston",POINT (-94.8531793 29.2506985),Curious,Med,No,Med,1.0,2.0,,Truck,
Tin Cup's Caddy Shack,197.0,bar,4.6,29.2539288,-94.8556317,,,140.625,"9020 Stewart Road, Galveston",POINT (-94.8556317 29.2539288),Skeptical,Med,No,Low,1.0,1.0,,Truck,
Lone Star Rally-Bar Hq,6.0,bar,4.0,29.3015921,-94.7755315,,,140.625,"910 Avenue M, Galveston",POINT (-94.7755315 29.3015921),Curious,Med,No,Med,1.0,1.0,,Truck,
Jetty,30.0,restaurant,2.5,29.27279,-94.81661,,,93.75,HI seawall,POINT (-94.81661 29.27279),Skeptical,Med,No,High,1.0,1.0,,Truck,
Galveston Food Truck Park,6.0,food,5.0,29.1415146,-95.0404814,,,0,"Nest to the Wet Whistle Bar in Sea Isle, 21510 Termini-San Luis Pass Road, Galveston",POINT (-95.0404814 29.1415146),Skeptical,Med,No,Low,1.0,1.0,,Truck,
Blake's Bistro (under San Luis),70.0,restaurant,4.0,29.27254012,-94.81829196,0,0,93.75,San Luis Hotel,POINT (-94.8182919630244 29.2725401175338),Skeptical,Med,No,High,1.0,1.0,,Truck,
